rank,transformed_feature,mean_absolute_shap_value
672,missingindicator_V308,0.0
673,missingindicator_V309,0.0
674,missingindicator_V31,0.0
675,missingindicator_V310,0.0
676,missingindicator_V311,0.0
677,missingindicator_V312,0.0
678,missingindicator_V313,0.0
679,missingindicator_V314,0.0
680,missingindicator_V315,0.0
681,missingindicator_V316,0.0
682,missingindicator_V317,0.0
683,missingindicator_V318,0.0
684,missingindicator_V319,0.0
685,missingindicator_V32,0.0
686,missingindicator_V320,0.0
687,missingindicator_V321,0.0
688,missingindicator_V323,0.0
689,missingindicator_V324,0.0
690,missingindicator_V325,0.0
691,missingindicator_V326,0.0
692,missingindicator_V327,0.0
693,missingindicator_V328,0.0
694,missingindicator_V329,0.0
695,missingindicator_V33,0.0
696,missingindicator_V330,0.0
697,missingindicator_V331,0.0
698,missingindicator_V332,0.0
699,missingindicator_V333,0.0
700,missingindicator_V334,0.0
701,missingindicator_V335,0.0
702,missingindicator_V336,0.0
703,missingindicator_V337,0.0
704,missingindicator_V338,0.0
705,missingindicator_V339,0.0
706,missingindicator_V34,0.0
707,missingindicator_V36,0.0
708,missingindicator_V37,0.0
709,missingindicator_V38,0.0
710,missingindicator_V39,0.0
711,missingindicator_V4,0.0
712,missingindicator_V40,0.0
713,missingindicator_V41,0.0
714,missingindicator_V42,0.0
715,missingindicator_V43,0.0
716,missingindicator_V44,0.0
717,missingindicator_V45,0.0
718,missingindicator_V46,0.0
719,missingindicator_V47,0.0
720,missingindicator_V48,0.0
721,missingindicator_V49,0.0
722,missingindicator_V5,0.0
723,missingindicator_V50,0.0
724,missingindicator_V51,0.0
725,missingindicator_V52,0.0
726,missingindicator_V54,0.0
727,missingindicator_V55,0.0
728,missingindicator_V56,0.0
729,missingindicator_V57,0.0
730,missingindicator_V58,0.0
731,missingindicator_V59,0.0
732,missingindicator_V6,0.0
733,missingindicator_V60,0.0
734,missingindicator_V61,0.0
735,missingindicator_V62,0.0
736,missingindicator_V63,0.0
737,missingindicator_V64,0.0
738,missingindicator_V65,0.0
739,missingindicator_V66,0.0
740,missingindicator_V67,0.0
741,missingindicator_V68,0.0
742,missingindicator_V69,0.0
743,missingindicator_V7,0.0
744,missingindicator_V70,0.0
745,missingindicator_V71,0.0
746,missingindicator_V72,0.0
747,missingindicator_V73,0.0
748,missingindicator_V74,0.0
749,missingindicator_V75,0.0
750,missingindicator_V76,0.0
751,missingindicator_V77,0.0
752,missingindicator_V78,0.0
753,missingindicator_V79,0.0
754,missingindicator_V8,0.0
755,missingindicator_V80,0.0
756,missingindicator_V81,0.0
757,missingindicator_V82,0.0
758,missingindicator_V83,0.0
759,missingindicator_V84,0.0
760,missingindicator_V85,0.0
761,missingindicator_V86,0.0
762,missingindicator_V87,0.0
763,missingindicator_V88,0.0
764,missingindicator_V89,0.0
765,missingindicator_V9,0.0
766,missingindicator_V90,0.0
767,missingindicator_V91,0.0
768,missingindicator_V92,0.0
769,missingindicator_V93,0.0
770,missingindicator_V94,0.0
771,missingindicator_amount_card1_1h_mean,0.0
772,missingindicator_amount_card1_1h_std,0.0
773,missingindicator_amount_card1_24h_std,0.0
774,missingindicator_amount_global_168h_mean,0.0
775,missingindicator_amount_global_168h_std,0.0
776,missingindicator_amount_global_168h_zscore,0.0
777,missingindicator_amount_global_1h_mean,0.0
778,missingindicator_amount_global_1h_std,0.0
779,missingindicator_amount_global_1h_zscore,0.0
780,missingindicator_amount_global_24h_mean,0.0
781,missingindicator_amount_global_24h_std,0.0
782,missingindicator_amount_global_24h_zscore,0.0
783,missingindicator_card4_target_encoded,0.0
784,missingindicator_card6_target_encoded,0.0
785,missingindicator_history_addr1_transaction_count,0.0
786,missingindicator_id_06,0.0
787,missingindicator_id_09,0.0
788,missingindicator_id_10,0.0
789,missingindicator_id_11,0.0
790,missingindicator_id_14,0.0
791,missingindicator_id_19,0.0
792,missingindicator_id_20,0.0
793,missingindicator_id_32,0.0
794,missingindicator_is_new_R_emaildomain,0.0
795,missingindicator_is_new_addr1,0.0
796,missingindicator_recency_card1_seconds,0.0
797,missingindicator_recency_global_seconds,0.0
798,DeviceInfo_0PAJ5,0.0
799,DeviceInfo_0PJA2,0.0
800,DeviceInfo_0PM92,0.0
801,DeviceInfo_1016S,0.0
802,DeviceInfo_2PQ93,0.0
803,DeviceInfo_2PS64 Build/NRD90M,0.0
804,DeviceInfo_2PYB2,0.0
805,DeviceInfo_2PZC5,0.0
806,DeviceInfo_4003A,0.0
807,DeviceInfo_4013M Build/KOT49H,0.0
808,DeviceInfo_4027A Build/KOT49H,0.0
809,DeviceInfo_4034E,0.0
810,DeviceInfo_4034G,0.0
811,DeviceInfo_4047A Build/NRD90M,0.0
812,DeviceInfo_4047G Build/NRD90M,0.0
813,DeviceInfo_5010G Build/MRA58K,0.0
814,DeviceInfo_5010S Build/MRA58K,0.0
815,DeviceInfo_5011A Build/NRD90M,0.0
816,DeviceInfo_5012G Build/MRA58K,0.0
817,DeviceInfo_5015A Build/LMY47I,0.0
818,DeviceInfo_5017A,0.0
819,DeviceInfo_5025G Build/LMY47I,0.0
820,DeviceInfo_5042A,0.0
821,DeviceInfo_5045I,0.0
822,DeviceInfo_5049W Build/NRD90M,0.0
823,DeviceInfo_5051A Build/MMB29M,0.0
824,DeviceInfo_5054N,0.0
825,DeviceInfo_5054S Build/LMY47V,0.0
826,DeviceInfo_5056A Build/MMB29M,0.0
827,DeviceInfo_5056N,0.0
828,DeviceInfo_5057M,0.0
829,DeviceInfo_5080A Build/MRA58K,0.0
830,DeviceInfo_5085B Build/MRA58K,0.0
831,DeviceInfo_5095I Build/MRA58K,0.0
832,DeviceInfo_6039A Build/LRX22G,0.0
833,DeviceInfo_6045I Build/LRX22G,0.0
834,DeviceInfo_7048A Build/LRX22G,0.0
835,DeviceInfo_7055A Build/KVT49L,0.0
836,DeviceInfo_8050G Build/LMY47I,0.0
837,DeviceInfo_8062 Build/MRA58K,0.0
838,DeviceInfo_8080 Build/LRX21M,0.0
839,DeviceInfo_831C,0.0
840,DeviceInfo_9002A,0.0
841,DeviceInfo_9003A Build/MRA58K,0.0
842,DeviceInfo_9008A Build/NRD90M,0.0
843,DeviceInfo_9022X,0.0
844,DeviceInfo_916,0.0
845,DeviceInfo_9203A Build/MRA58K,0.0
846,DeviceInfo_A0001 Build/MHC19Q,0.0
847,DeviceInfo_A1-850,0.0
848,DeviceInfo_A1601 Build/LMY47I,0.0
849,DeviceInfo_A37f,0.0
